Canvass Unit ID,Segment Order,Route #,Route Segment #,Route Stop Range,Street Key,Street Display,Address Block,Street Side,Stop Count,Segment Color,Segment First Side,Segment Direction,Start Address,End Address
indian oaks dr::block600-699::sideeven::address_loop,1,1,1,1-2,indian oaks dr,Indian Oaks Dr,600-699,even,2,#1f77b4,even,forward,600 Indian Oaks Dr,610 Indian Oaks Dr
indian oaks dr::block600-699::sideodd::address_loop,2,1,2,3-11,indian oaks dr,Indian Oaks Dr,600-699,odd,9,#ff7f0e,odd,forward,611 Indian Oaks Dr,691 Indian Oaks Dr
indian oaks dr::block700-799::sideeven::address_loop,3,1,3,12-17,indian oaks dr,Indian Oaks Dr,700-799,even,6,#2ca02c,even,forward,720 Indian Oaks Dr,790 Indian Oaks Dr
indian oaks dr::block700-799::sideodd::address_loop,4,1,4,18-26,indian oaks dr,Indian Oaks Dr,700-799,odd,9,#d62728,odd,forward,701 Indian Oaks Dr,781 Indian Oaks Dr
indian oaks dr::block800-899::sideeven::address_loop,5,1,5,27-34,indian oaks dr,Indian Oaks Dr,800-899,even,8,#9467bd,even,forward,800 Indian Oaks Dr,870 Indian Oaks Dr
indian oaks dr::block800-899::sideodd::address_loop,6,1,6,35-44,indian oaks dr,Indian Oaks Dr,800-899,odd,10,#8c564b,odd,forward,801 Indian Oaks Dr,891 Indian Oaks Dr
indian oaks dr::block900-999::sideodd::address_loop,7,1,7,45,indian oaks dr,Indian Oaks Dr,900-999,odd,1,#e377c2,odd,forward,901 Indian Oaks Dr,901 Indian Oaks Dr
osceola dr::block3500-3599::sideeven::address_loop,8,1,8,46-52,osceola dr,Osceola Dr,3500-3599,even,7,#17becf,even,forward,3522 Osceola Dr,3582 Osceola Dr
osceola dr::block3500-3599::sideodd::address_loop,9,1,9,53-60,osceola dr,Osceola Dr,3500-3599,odd,8,#bcbd22,odd,forward,3513 Osceola Dr,3593 Osceola Dr
osceola dr::block3600-3699::sideeven::address_loop,10,1,10,61-62,osceola dr,Osceola Dr,3600-3699,even,2,#393b79,even,forward,3612 Osceola Dr,3622 Osceola Dr
osceola dr::block3600-3699::sideodd::address_loop,11,1,11,63-68,osceola dr,Osceola Dr,3600-3699,odd,6,#637939,odd,forward,3603 Osceola Dr,3653 Osceola Dr
