Canvass Unit ID,Street,Block,Side,Initial Order,Corrected Order,Initial Direction,Corrected Direction,Initial Stop Range,Corrected Stop Range,Changes
boston ave a::block3600-3699::sideodd::address_loop,Boston Ave  A,3600-3699,odd,9,2,forward,forward,18,6,"segment_order, stop_range"
boston ave::block3600-3699::sideeven::address_loop,Boston Ave,3600-3699,even,8,15,forward,forward,17,25,"segment_order, stop_range"
boston avese::block3500-3599::sideeven::address_loop,Boston AveSE,3500-3599,even,4,5,forward,forward,11,12,"segment_order, stop_range"
boston avese::block3500-3599::sideodd::address_loop,Boston AveSE,3500-3599,odd,5,4,reverse,reverse,12-13,10-11,"segment_order, stop_range"
boston avese::block3600-3699::sideeven::address_loop,Boston AveSE,3600-3699,even,3,6,reverse,forward,9-10,13-14,"segment_order, direction, stop_range"
boston avese::block3600-3699::sideodd::address_loop,Boston AveSE,3600-3699,odd,2,3,reverse,reverse,6-8,7-9,"segment_order, stop_range"
boston avese::block3800-3899::sideodd::address_loop,Boston AveSE,3800-3899,odd,6,34,forward,forward,14,58,"segment_order, stop_range"
boston avese::block3900-3999::sideodd::address_loop,Boston AveSE,3900-3999,odd,7,35,forward,forward,15-16,59-60,"segment_order, stop_range"
curtis avese::block3500-3599::sideeven::address_loop,Curtis AveSE,3500-3599,even,11,32,forward,forward,20,46,"segment_order, stop_range"
curtis avese::block3500-3599::sideodd::address_loop,Curtis AveSE,3500-3599,odd,10,31,forward,forward,19,45,"segment_order, stop_range"
deforest rd pole::block1300-1399::sideeven::address_loop,Deforest Rd  Pole,1300-1399,even,14,38,forward,forward,23,63,"segment_order, stop_range"
deforest rd::block1200-1299::sideeven::address_loop,Deforest Rd,1200-1299,even,13,37,forward,forward,22,62,"segment_order, stop_range"
deforest rd::block1300-1399::sideeven::address_loop,Deforest Rd,1300-1399,even,12,36,forward,forward,21,61,"segment_order, stop_range"
deforest rdse::block1200-1299::sideeven::address_loop,Deforest RdSE,1200-1299,even,17,40,forward,forward,41,70,"segment_order, stop_range"
deforest rdse::block1300-1399::sideeven::address_loop,Deforest RdSE,1300-1399,even,15,33,forward,forward,24-34,47-57,"segment_order, stop_range"
deforest rdse::block1300-1399::sideodd::address_loop,Deforest RdSE,1300-1399,odd,16,39,reverse,reverse,35-40,64-69,"segment_order, stop_range"
evergreen ave::block3500-3599::sideeven::address_loop,Evergreen Ave,3500-3599,even,19,9,forward,forward,43,19,"segment_order, stop_range"
evergreen ave::block3700-3799::sideodd::address_loop,Evergreen Ave,3700-3799,odd,18,27,forward,forward,42,41,"segment_order, stop_range"
evergreen se ave::block3500-3599::sideodd::address_loop,Evergreen SE Ave,3500-3599,odd,20,8,forward,forward,44,18,"segment_order, stop_range"
evergreen se ave::block3700-3799::sideodd::address_loop,Evergreen SE Ave,3700-3799,odd,21,19,forward,forward,45,30,"segment_order, stop_range"
overlook ave::block3400-3499::sideodd::address_loop,Overlook Ave,3400-3499,odd,22,17,forward,forward,46,27,"segment_order, stop_range"
overlook ave::block3500-3599::sideodd::address_loop,Overlook Ave,3500-3599,odd,23,16,forward,forward,47,26,"segment_order, stop_range"
overlook avese::block3400-3499::sideeven::address_loop,Overlook AveSE,3400-3499,even,26,21,forward,forward,52,32,"segment_order, stop_range"
overlook avese::block3400-3499::sideodd::address_loop,Overlook AveSE,3400-3499,odd,25,18,reverse,reverse,50-51,28-29,"segment_order, stop_range"
overlook avese::block3500-3599::sideeven::address_loop,Overlook AveSE,3500-3599,even,24,22,forward,forward,48-49,33-34,"segment_order, stop_range"
overlook se ave::block3400-3499::sideeven::address_loop,Overlook SE Ave,3400-3499,even,27,20,forward,forward,53,31,"segment_order, stop_range"
ridgelawn ave::block3500-3599::sideeven::address_loop,Ridgelawn Ave,3500-3599,even,29,29,forward,forward,55,43,stop_range
ridgelawn ave::block3500-3599::sideodd::address_loop,Ridgelawn Ave Apt Basm,3500-3599,odd,28,24,forward,forward,54,37,"segment_order, stop_range"
ridgelawn avese::block3500-3599::sideodd::address_loop,Ridgelawn AveSE,3500-3599,odd,30,25,forward,reverse,56-57,38-39,"segment_order, direction, stop_range"
ridgelawn avese::block3600-3699::sideeven::address_loop,Ridgelawn AveSE,3600-3699,even,32,30,forward,forward,60,44,"segment_order, stop_range"
ridgelawn avese::block3600-3699::sideodd::address_loop,Ridgelawn AveSE,3600-3699,odd,31,23,forward,reverse,58-59,35-36,"segment_order, direction, stop_range"
ridgelawn se ave::block3500-3599::sideeven::address_loop,Ridgelawn SE Ave,3500-3599,even,33,28,forward,forward,61,42,"segment_order, stop_range"
ridgelawn se ave::block3500-3599::sideodd::address_loop,Ridgelawn SE Ave,3500-3599,odd,34,26,forward,forward,62,40,"segment_order, stop_range"
woodbine ave 1::block3500-3599::sideeven::address_loop,Woodbine Ave  1,3500-3599,even,36,12,forward,forward,64,22,"segment_order, stop_range"
woodbine ave::block3500-3599::sideeven::address_loop,Woodbine Ave,3500-3599,even,35,13,forward,forward,63,23,"segment_order, stop_range"
woodbine avese::block3400-3499::sideeven::address_loop,Woodbine AveSE,3400-3499,even,40,11,forward,forward,70,21,"segment_order, stop_range"
woodbine avese::block3400-3499::sideodd::address_loop,Woodbine AveSE,3400-3499,odd,39,10,forward,forward,69,20,"segment_order, stop_range"
woodbine avese::block3500-3599::sideeven::address_loop,Woodbine AveSE,3500-3599,even,38,14,forward,forward,68,24,"segment_order, stop_range"
woodbine avese::block3500-3599::sideodd::address_loop,Woodbine AveSE,3500-3599,odd,37,7,forward,reverse,65-67,15-17,"segment_order, direction, stop_range"
