Canvass Unit ID,Segment Order,Route #,Route Segment #,Route Stop Range,Street Key,Street Display,Address Block,Street Side,Stop Count,Segment Color,Segment First Side,Segment Direction,Start Address,End Address
boston avese::block3700-3799::sideodd::address_loop,1,1,1,1-5,boston avese,Boston AveSE,3700-3799,odd,5,#1f77b4,odd,forward,3765 Boston AveSE,3701 Boston AveSE
boston ave a::block3600-3699::sideodd::address_loop,2,1,2,6,boston ave a,Boston Ave  A,3600-3699,odd,1,#ff7f0e,odd,forward,3685 Boston Ave  A,3685 Boston Ave  A
boston avese::block3600-3699::sideodd::address_loop,3,1,3,7-9,boston avese,Boston AveSE,3600-3699,odd,3,#2ca02c,odd,reverse,3669 Boston AveSE,3637 Boston AveSE
boston avese::block3500-3599::sideodd::address_loop,4,1,4,10-11,boston avese,Boston AveSE,3500-3599,odd,2,#d62728,odd,reverse,3589 Boston AveSE,3571 Boston AveSE
boston avese::block3500-3599::sideeven::address_loop,5,1,5,12,boston avese,Boston AveSE,3500-3599,even,1,#9467bd,even,forward,3584 Boston AveSE,3584 Boston AveSE
boston avese::block3600-3699::sideeven::address_loop,6,1,6,13-14,boston avese,Boston AveSE,3600-3699,even,2,#8c564b,even,forward,3620 Boston AveSE,3636 Boston AveSE
woodbine avese::block3500-3599::sideodd::address_loop,7,1,7,15-17,woodbine avese,Woodbine AveSE,3500-3599,odd,3,#e377c2,odd,reverse,3591 Woodbine AveSE,3579 Woodbine AveSE
evergreen se ave::block3500-3599::sideodd::address_loop,8,1,8,18,evergreen se ave,Evergreen SE Ave,3500-3599,odd,1,#17becf,odd,forward,3545 Evergreen SE Ave,3545 Evergreen SE Ave
evergreen ave::block3500-3599::sideeven::address_loop,9,1,9,19,evergreen ave,Evergreen Ave,3500-3599,even,1,#bcbd22,even,forward,3544 Evergreen Ave,3544 Evergreen Ave
woodbine avese::block3400-3499::sideodd::address_loop,10,1,10,20,woodbine avese,Woodbine AveSE,3400-3499,odd,1,#393b79,odd,forward,3499 Woodbine AveSE,3499 Woodbine AveSE
woodbine avese::block3400-3499::sideeven::address_loop,11,1,11,21,woodbine avese,Woodbine AveSE,3400-3499,even,1,#637939,even,forward,3494 Woodbine AveSE,3494 Woodbine AveSE
woodbine ave 1::block3500-3599::sideeven::address_loop,12,1,12,22,woodbine ave 1,Woodbine Ave  1,3500-3599,even,1,#8c6d31,even,forward,3560 Woodbine Ave  1,3560 Woodbine Ave  1
woodbine ave::block3500-3599::sideeven::address_loop,13,1,13,23,woodbine ave,Woodbine Ave,3500-3599,even,1,#843c39,even,forward,3588 Woodbine Ave,3588 Woodbine Ave
woodbine avese::block3500-3599::sideeven::address_loop,14,1,14,24,woodbine avese,Woodbine AveSE,3500-3599,even,1,#7b4173,even,forward,3594 Woodbine AveSE,3594 Woodbine AveSE
boston ave::block3600-3699::sideeven::address_loop,15,1,15,25,boston ave,Boston Ave,3600-3699,even,1,#3182bd,even,forward,3646 Boston Ave,3646 Boston Ave
overlook ave::block3500-3599::sideodd::address_loop,16,1,16,26,overlook ave,Overlook Ave,3500-3599,odd,1,#e6550d,odd,forward,3503 Overlook Ave,3503 Overlook Ave
