Canvass Unit ID,Segment Order,Route #,Route Segment #,Route Stop Range,Street Key,Street Display,Address Block,Street Side,Stop Count,Segment Color,Segment First Side,Segment Direction,Start Address,End Address
boston avese::block3700-3799::sideodd::address_loop,1,1,1,1-5,boston avese,Boston AveSE,3700-3799,odd,5,#1f77b4,odd,forward,3765 Boston AveSE,3701 Boston AveSE
boston avese::block3600-3699::sideodd::address_loop,2,1,2,6-8,boston avese,Boston AveSE,3600-3699,odd,3,#ff7f0e,odd,reverse,3669 Boston AveSE,3637 Boston AveSE
boston avese::block3600-3699::sideeven::address_loop,3,1,3,9-10,boston avese,Boston AveSE,3600-3699,even,2,#2ca02c,even,reverse,3636 Boston AveSE,3620 Boston AveSE
boston avese::block3500-3599::sideeven::address_loop,4,1,4,11,boston avese,Boston AveSE,3500-3599,even,1,#d62728,even,forward,3584 Boston AveSE,3584 Boston AveSE
boston avese::block3500-3599::sideodd::address_loop,5,1,5,12-13,boston avese,Boston AveSE,3500-3599,odd,2,#9467bd,odd,reverse,3589 Boston AveSE,3571 Boston AveSE
boston avese::block3800-3899::sideodd::address_loop,6,1,6,14,boston avese,Boston AveSE,3800-3899,odd,1,#8c564b,odd,forward,3831 Boston AveSE,3831 Boston AveSE
boston avese::block3900-3999::sideodd::address_loop,7,1,7,15-16,boston avese,Boston AveSE,3900-3999,odd,2,#e377c2,odd,forward,3917 Boston AveSE,3929 Boston AveSE
boston ave::block3600-3699::sideeven::address_loop,8,1,8,17,boston ave,Boston Ave,3600-3699,even,1,#17becf,even,forward,3646 Boston Ave,3646 Boston Ave
boston ave a::block3600-3699::sideodd::address_loop,9,1,9,18,boston ave a,Boston Ave  A,3600-3699,odd,1,#bcbd22,odd,forward,3685 Boston Ave  A,3685 Boston Ave  A
curtis avese::block3500-3599::sideodd::address_loop,10,1,10,19,curtis avese,Curtis AveSE,3500-3599,odd,1,#393b79,odd,forward,3533 Curtis AveSE,3533 Curtis AveSE
curtis avese::block3500-3599::sideeven::address_loop,11,1,11,20,curtis avese,Curtis AveSE,3500-3599,even,1,#637939,even,forward,3532 Curtis AveSE,3532 Curtis AveSE
